Group Number,Original Response ID,Original Status,New Original Response ID,New Original Status,Duplicates Marked,Reason
122,9d2fa0d6-b971-43fa-b19e-3bef1a53558e,Rejected,9e3ca5eb-ed25-451c-b033-323107a8554d,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
123,2b8724c4-c2bc-450c-bed4-e56877ae14e9,Pending_Approval,2b8724c4-c2bc-450c-bed4-e56877ae14e9,Pending_Approval,1,Normal: Marked duplicates as Rejected
124,3b334dcf-1933-4a8d-8dfb-72efa14e1519,Pending_Approval,3b334dcf-1933-4a8d-8dfb-72efa14e1519,Pending_Approval,1,Normal: Marked duplicates as Rejected
125,39c58432-1721-4794-905c-76295f5fcb8e,Rejected,49f915e7-12fe-4d5e-a3d6-344996ae1ab0,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
126,1c81dd61-57bb-426b-8bf2-20f7ad03d011,Rejected,39617702-2374-407e-b88d-7beeb4304153,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
127,92689f06-48fe-41a0-88a4-7d3b151a53a1,Pending_Approval,92689f06-48fe-41a0-88a4-7d3b151a53a1,Pending_Approval,1,Normal: Marked duplicates as Rejected
128,404e31f2-a09a-40b6-8cfb-952a2f6d49a7,Rejected,3d5e4296-a045-4e93-8950-8ac2622ee890,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
129,a98bc310-1557-46a5-882a-55f9995b2d1c,Rejected,57c84fcb-7a20-4a68-bd60-f17db97aba63,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
130,f64ad911-387b-4226-b557-293b487bf017,Pending_Approval,f64ad911-387b-4226-b557-293b487bf017,Pending_Approval,1,Normal: Marked duplicates as Rejected
131,cc1ae537-c347-4322-8abd-79f9f1d7467f,Rejected,3f624275-6560-4081-b1ab-dfb7b0f07259,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
132,dd6b1e03-108c-461d-8cc5-78c5f5e126d3,Pending_Approval,dd6b1e03-108c-461d-8cc5-78c5f5e126d3,Pending_Approval,0,Normal: Marked duplicates as Rejected
133,067649f1-b725-447d-9b71-a78c4dea0314,Rejected,84185034-cd92-4bf6-9d18-e68826e0d1ba,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
134,7b1fa672-63c1-4e97-964d-137a1767ff57,Pending_Approval,7b1fa672-63c1-4e97-964d-137a1767ff57,Pending_Approval,0,Normal: Marked duplicates as Rejected
135,ccbca33c-65cd-415c-bc98-74784f2bdba0,Pending_Approval,ccbca33c-65cd-415c-bc98-74784f2bdba0,Pending_Approval,2,Normal: Marked duplicates as Rejected
136,d8a78b35-38b1-4f1c-bb5c-42dda3ff61c6,Rejected,4533e079-723b-471d-8a7d-e00a0b9d89a7,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
137,4dafc353-ed68-48b8-babb-6948bd02d345,Rejected,4dafc353-ed68-48b8-babb-6948bd02d345,Rejected,0,Normal: Marked duplicates as Rejected
138,0f3cd2ee-770b-48e3-99b8-cc1b1a5fcee7,Rejected,64c97d7b-801e-4e17-87a3-7777f9777ad7,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
139,6d7fef21-d8ea-46a1-aca2-1f8b37bfee4c,Pending_Approval,6d7fef21-d8ea-46a1-aca2-1f8b37bfee4c,Pending_Approval,1,Normal: Marked duplicates as Rejected
140,d02156de-43a0-4280-9616-47fca2273f00,Rejected,c4968aa1-1fd8-4f77-a990-536bc83a5a63,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
141,88690a70-6698-4b5d-88ea-603a39f44f26,Rejected,296eb1a5-e582-4f65-84d4-c6ed9054f9da,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
142,1afd4da9-6b1a-4ada-b2c3-bab364fef21a,Pending_Approval,1afd4da9-6b1a-4ada-b2c3-bab364fef21a,Pending_Approval,2,Normal: Marked duplicates as Rejected
143,961ef982-829d-4bee-9ae9-130df6c50cb6,Rejected,d3282dab-e891-4fa6-a2a8-09c061393d2b,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
144,96619c6a-cb39-4cc6-ad9b-c35a67a5a68c,Rejected,86d060eb-bf95-401b-9135-5871ead66232,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
145,547456ce-1077-4eee-b2a6-85add1992d56,Pending_Approval,547456ce-1077-4eee-b2a6-85add1992d56,Pending_Approval,1,Normal: Marked duplicates as Rejected
146,24f99dad-38a6-4c3d-a17d-60cd1962d0c4,Rejected,3369e10c-c20d-4d57-8f38-b94f366b609c,Pending_Approval,0,Reordered: Original was Rejected, kept Pending_Approval duplicate
